CurrencyCode,ChangeDate,EuroConversionRate,SterlingConversionRate
AED,00:00.0,0.24,0.18
AED,00:00.0,0.24,0.2
AED,00:00.0,0.24,0.2
AED,00:00.0,0.24,0.2
AED,00:00.0,0.255,0.218
AED,00:00.0,0.234,0.205
AED,00:00.0,0.234,0.205
AED,00:00.0,0.234,0.205
AFN,00:00.0,1.2,1.5
ARS,00:00.0,0.06,0.05
AUD,00:00.0,0.64,0.5
AUD,00:00.0,0.64,0.5
AUD,00:00.0,0.64,0.5
BGN,00:00.0,0.51,1
BHD,00:00.0,0.94,0.794
BHD,00:00.0,0.94,0.794
BMD,00:00.0,0.9,0.75
BRL,00:00.0,0.280713,1
CAD,00:00.0,0.71,0.52
CAD,00:00.0,0.69,0.52
CAD,00:00.0,0.69,0.52
CAD,00:00.0,0.7,0.58
CAD,00:00.0,0.7,0.58
CAD,00:00.0,0.7,0.58
CAD,00:00.0,0.681,0.615
CAD,00:00.0,0.681,0.615
CAD,00:00.0,0.681,0.615
CAD,00:00.0,0.681,0.615
CAD,00:00.0,0.673,0.592
CAD,00:00.0,0.673,0.592
CAD,00:00.0,0.673,0.592
CAD,00:00.0,0.673,0.592
CHF,00:00.0,0.9,0.69
CHF,00:00.0,0.922,0.73
CHF,00:00.0,0.92,0.78
CHF,00:00.0,0.92,0.79
CHF,00:00.0,0.915,0.771
CHF,00:00.0,0.93,0.79
CHF,00:00.0,0.921,0.81
CHF,00:00.0,0.811,0.933
CHF,00:00.0,0.811,0.933
CHF,00:00.0,0.933,0.811
CHF,00:00.0,0.933,0.811
CNY,00:00.0,0.116,0.09
CNY,00:00.0,0.116,0.09
COP,00:00.0,0.000296,0.000254
CZK,00:00.0,0.037,0.031
DKK,00:00.0,0.134,0.104
EGP,00:00.0,0.101,0.086
ESP,00:00.0,0.006,0.005
EUR,00:00.0,1,0.75
EUR,00:00.0,1,0.77
EUR,00:00.0,1,0.77
EUR,00:00.0,1,0.8
EUR,00:00.0,1,0.7
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.77
EUR,00:00.0,1,0.77
EUR,00:00.0,1,0.75
EUR,00:00.0,1,0.86
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.86
EUR,00:00.0,1,0.89
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.86
EUR,00:00.0,1,0.86
EUR,00:00.0,1,0.81
EUR,00:00.0,1,0.85
EUR,00:00.0,1,0.85
EUR,00:00.0,1,0.85
EUR,00:00.0,1,0.85
EUR,00:00.0,1,0.005
EUR,00:00.0,1,0.005
EUR,00:00.0,1,0.93
EUR,00:00.0,1,0.93
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.84
EUR,00:00.0,1,0.87
FJD,00:00.0,1,1
GBP,00:00.0,1.36,1
GBP,00:00.0,1.27,1
GBP,00:00.0,1.25,1
GBP,00:00.0,1.25,1
GBP,00:00.0,1.25,1
GBP,00:00.0,1.27,1
GBP,00:00.0,1.27,1
GBP,00:00.0,1.27,1
GBP,00:00.0,1.37,1
GBP,00:00.0,1.37,1
GBP,00:00.0,1.37,1
GBP,00:00.0,1.28,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.28,1
GBP,00:00.0,1.16,1
GBP,00:00.0,1.16,1
GBP,00:00.0,0.84,1
GBP,00:00.0,0.84,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.31,1
GBP,00:00.0,1.15,1
GBP,00:00.0,1.25,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.15,1
GBP,00:00.0,1.19,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.15,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.18,1
GBP,00:00.0,1.15,1
GBP,00:00.0,1.17,1
GBP,00:00.0,1.16,1
GBP,00:00.0,1.17,1
GBP,00:00.0,1.17,1
GBP,00:00.0,1.17,1
GBP,00:00.0,1.17,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.13,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.14,1
GBP,00:00.0,1.12,1
GBP,00:00.0,1.12,1
GBP,00:00.0,1.12,1
GBP,00:00.0,1.12,1
GBP,00:00.0,1.15,1
GEL,00:00.0,1,1
GEL,00:00.0,1,1
GGP,00:00.0,1,1
GHS,00:00.0,1,1
GHS,00:00.0,1,1
GHS,00:00.0,1,1
GHS,00:00.0,1,1
GHS,00:00.0,1,1
GIP,00:00.0,1.18,1
GMD,00:00.0,1,1
GMD,00:00.0,1,1
GMD,00:00.0,1,1
GYD,00:00.0,0.0045,0.0039
HKD,00:00.0,0.11,0.088
HKD,00:00.0,0.116,0.09
HKD,00:00.0,0.117,0.098
HKD,00:00.0,0.117,0.098
HKD,00:00.0,0.117,0.098
HKD,00:00.0,0.109,0.098
HKD,00:00.0,0.109,0.098
HUF,00:00.0,0.0032,0.0027
ILS,00:00.0,0.238,0.169
INR,00:00.0,0.01,0.01
INR,00:00.0,0.013,0.011
INR,00:00.0,0.109,0.011
JOD,00:00.0,1.33,1.13
JPY,00:00.0,0.008,0.006
JPY,00:00.0,0.008,0.007
JPY,00:00.0,0.008,0.007
JPY,00:00.0,0.008,0.007
JPY,00:00.0,0.0076,0.0069
KES,00:00.0,0.26,0.007
KRW,00:00.0,0.00075,0.00057
KWD,00:00.0,0.323,0.38
KZT,00:00.0,1,1
LBP,00:00.0,5.90E-05,0.00045
LKR,00:00.0,0.006,0.004
LKR,00:00.0,0.005,0.004
LRD,00:00.0,0.009,0.008
MOP,00:00.0,0.116,0.09
MUR,00:00.0,0.025,0.021
MXN,00:00.0,0.046,0.039
MXN,00:00.0,0.049,0.043
MYR,00:00.0,0.22,0.19
MYR,00:00.0,0.212,0.18
MYR,00:00.0,0.2,0.176
MZN,00:00.0,0.013,0.011
NGN,00:00.0,0.003,0.002
NOK,00:00.0,0.108249,0.0919933
NZD,00:00.0,0.6,0.46
NZD,00:00.0,1.16,1
NZD,00:00.0,1.16,1
NZD,00:00.0,1.16,1
OMR,00:00.0,2.43,2.08
PEN,00:00.0,0.274,0.235
PHP,00:00.0,0.019,0.016
PHP,00:00.0,0.016,0.014
PKR,00:00.0,0.008,0.007
PKR,00:00.0,0.008,0.007
PLN,00:00.0,0.22,0.193
QAR,00:00.0,0.257,0.22
QAR,00:00.0,0.236,0.207
RON,00:00.0,0.214,0.188
RUB,00:00.0,0.012,0.009
RUB,00:00.0,0.016,0.014
RUB,00:00.0,0.016,0.013
SAR,00:00.0,0.23,0.18
SAR,00:00.0,0.23,0.18
SAR,00:00.0,0.23,0.18
SAR,00:00.0,0.23,0.18
SEK,00:00.0,0.104771,0.0889969
SGD,00:00.0,0.65,0.5
SGD,00:00.0,0.65,0.5
SGD,00:00.0,0.65,0.5
SGD,00:00.0,0.65,0.5
SGD,00:00.0,0.65,0.5
SGD,00:00.0,0.629,0.565
SGD,00:00.0,0.629,0.565
THB,00:00.0,0.025,0.019
THB,00:00.0,0.025,0.019
THB,00:00.0,0.024,0.019
TRY,00:00.0,0.31,0.26
TRY,00:00.0,0.186,0.165
TTD,00:00.0,0.125,0.112
TWD,00:00.0,0.028,0.025
UAH,00:00.0,0.035,0.031
UGX,00:00.0,1,1
UGX,00:00.0,0.0002,0.0002
USD,00:00.0,0.88,0.65
USD,00:00.0,0.91,0.72
USD,00:00.0,0.88,0.7
USD,00:00.0,0.87,0.68
USD,00:00.0,0.87,0.68
USD,00:00.0,0.87,0.68
USD,00:00.0,0.87,0.68
USD,00:00.0,0.89,0.68
USD,00:00.0,0.77,0.69
USD,00:00.0,0.9,0.76
USD,00:00.0,0.89,0.75
USD,00:00.0,0.89,0.69
USD,00:00.0,0.73,0.58
USD,00:00.0,0.89,0.77
USD,00:00.0,0.89,1
USD,00:00.0,0.89,0.75
USD,00:00.0,0.88,0.77
USD,00:00.0,0.82,0.59
USD,00:00.0,0.75,0.6
USD,00:00.0,0.75,0.89
USD,00:00.0,0.88,0.77
USD,00:00.0,0.89,0.75
USD,00:00.0,0.88,0.77
USD,00:00.0,0.95,0.81
USD,00:00.0,0.95,0.81
USD,00:00.0,0.95,0.81
USD,00:00.0,0.93,0.79
USD,00:00.0,0.93,0.79
USD,00:00.0,0.929,0.791
USD,00:00.0,0.94,0.81
USD,00:00.0,0.94,0.8
USD,00:00.0,0.94,0.8
USD,00:00.0,0.94,0.8
USD,00:00.0,0.925,0.801
USD,00:00.0,0.925,0.801
USD,00:00.0,0.942,0.798
USD,00:00.0,0.942,0.798
USD,00:00.0,0.88,0.78
USD,00:00.0,0.89,0.77
USD,00:00.0,0.94,0.81
USD,00:00.0,0.94,0.81
USD,00:00.0,0.94,0.81
USD,00:00.0,0.841,0.746
USD,00:00.0,0.81,0.72
USD,00:00.0,0.81,0.7
USD,00:00.0,0.81,0.7
USD,00:00.0,0.81,0.7
USD,00:00.0,0.81,0.7
USD,00:00.0,0.81,0.7
USD,00:00.0,0.86,0.77
UYU,00:00.0,1,1
UZS,00:00.0,1,1
VEF,00:00.0,0.922,0.73
VUV,00:00.0,0.007,0.006
WST,00:00.0,1,1
XAU,00:00.0,0.061,0.051
XAU,00:00.0,1086.48,957.5
XAU,00:00.0,1110.41,970.93
YER,00:00.0,3,1
ZAR,00:00.0,0.061,0.051
ZAR,00:00.0,0.073,0.052
ZMW,00:00.0,0.04,0.08